Ano,Área de Avaliação,Grau Acadêmico,Organização Acadêmica,Categoria Administrativa,Modalidade de Ensino,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Conceito Enade (Faixa)
2023,BIOMEDICINA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,20,14,2
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,1,0,SC
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,1,0,SC
2023,ENGENHARIA MECÂNICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,16,15,2
2023,ENGENHARIA DE COMPUTAÇÃO I,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,13,11,3
2023,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Porto Velho,RO,17,16,3
2023,ENGENHARIA CIVIL,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Porto Velho,RO,12,12,3
2023,ENGENHARIA MECÂNICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,11,10,1
2023,ENGENHARIA ELÉTRICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,18,15,2
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,4,4,2
2023,ODONTOLOGIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,14,14,3
2023,ARQUITETURA E URBANISMO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,7,0,SC
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,21,19,3
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,24,18,2
2023,ENGENHARIA ELÉTRICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,13,9,1
2023,ODONTOLOGIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,23,21,3
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,10,3,1
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,99,94,2
